"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: delay","Param: size"
"Benchmark.StatisticBenchmark.diversityByParallelStream","thrpt",1,25,"4,630968","2,708184","ops/ms",0,1000
"Benchmark.StatisticBenchmark.diversityByParallelStream","thrpt",1,25,"1,281952","1,651922","ops/ms",0,10000
"Benchmark.StatisticBenchmark.diversityByParallelStream","thrpt",1,25,"0,083450","0,112904","ops/ms",0,100000
"Benchmark.StatisticBenchmark.diversityByParallelStream","thrpt",1,25,"0,150893","0,005333","ops/ms",5,1000
"Benchmark.StatisticBenchmark.diversityByParallelStream","thrpt",1,25,"0,076478","0,009336","ops/ms",5,10000
"Benchmark.StatisticBenchmark.diversityByParallelStream","thrpt",1,25,"0,005346","0,001032","ops/ms",5,100000
"Benchmark.StatisticBenchmark.diversityByParallelStream","thrpt",1,25,"0,064263","0,000098","ops/ms",10,1000
"Benchmark.StatisticBenchmark.diversityByParallelStream","thrpt",1,25,"0,050728","0,008913","ops/ms",10,10000
"Benchmark.StatisticBenchmark.diversityByParallelStream","thrpt",1,25,"0,007236","0,002441","ops/ms",10,100000
"Benchmark.StatisticBenchmark.diversityByParallelStream","thrpt",1,25,"0,032178","0,000060","ops/ms",20,1000
"Benchmark.StatisticBenchmark.diversityByParallelStream","thrpt",1,25,"0,029565","0,003153","ops/ms",20,10000
"Benchmark.StatisticBenchmark.diversityByParallelStream","thrpt",1,25,"0,007618","0,002500","ops/ms",20,100000
"Benchmark.StatisticBenchmark.diversityBySpliterator","thrpt",1,25,"0,190373","0,057002","ops/ms",0,1000
"Benchmark.StatisticBenchmark.diversityBySpliterator","thrpt",1,25,"0,034782","0,040156","ops/ms",0,10000
"Benchmark.StatisticBenchmark.diversityBySpliterator","thrpt",1,25,"0,011414","0,003729","ops/ms",0,100000
"Benchmark.StatisticBenchmark.diversityBySpliterator","thrpt",1,25,"0,087347","0,011521","ops/ms",5,1000
"Benchmark.StatisticBenchmark.diversityBySpliterator","thrpt",1,25,"0,016620","0,012248","ops/ms",5,10000
"Benchmark.StatisticBenchmark.diversityBySpliterator","thrpt",1,25,"0,063731","0,001173","ops/ms",10,1000
"Benchmark.StatisticBenchmark.diversityBySpliterator","thrpt",1,25,"0,011118","0,004353","ops/ms",10,10000
"Benchmark.StatisticBenchmark.diversityBySpliterator","thrpt",1,25,"0,005961","0,000690","ops/ms",10,100000
"Benchmark.StatisticBenchmark.diversityBySpliterator","thrpt",1,25,"0,031817","0,000358","ops/ms",20,1000
